COUNTRY,LT_MONTH,TOTAL_USERS
CO,2023-04-01,32265.0
CO,2023-05-01,32821.0
CO,2023-06-01,32086.0
CO,2023-07-01,32837.0
CO,2023-08-01,31815.0
CO,2023-09-01,31899.0
CO,2023-10-01,31372.0
CO,2023-11-01,30970.0
CO,2023-12-01,31394.0
CO,2024-01-01,30402.0
CO,2024-02-01,30776.0
CO,2024-03-01,33633.0
CO,2024-04-01,31732.0
CO,2024-05-01,32844.0
CO,2024-06-01,31678.0
CO,2024-07-01,30577.0
CO,2024-08-01,31268.0
CO,2024-09-01,30859.0
CO,2024-10-01,31260.0
CO,2024-11-01,31611.0
CO,2024-12-01,31449.0
CO,2025-01-01,30492.0
CO,2025-02-01,30521.0
CO,2025-03-01,33031.0
CO,2025-04-01,32378.0
CO,2025-05-01,34659.0
CO,2025-06-01,34963.0
CO,2025-07-01,35140.0
CO,2025-08-01,37231.0
CO,2025-09-01,36660.0
CO,2025-10-01,37435.0
CO,2025-11-01,38996.0
CO,2025-12-01,38669.0
CO,2026-01-01,38447.0
CO,2026-02-01,37918.0
CO,2026-03-01,40419.0
CO,2026-04-01,38593.0
CO,2026-05-01,41617.0
CO,2026-06-01,39890.188569609534
CO,2026-07-01,41980.77841778333
CO,2026-08-01,43161.57117922541
CO,2026-09-01,41615.95827035754
CO,2026-10-01,44160.36397124766
CO,2026-11-01,43184.85743616427
CO,2026-12-01,44566.098341139055
CO,2027-01-01,46350.079252445634
CO,2027-02-01,41719.576976904325
CO,2027-03-01,46162.986204244524
CO,2027-04-01,45713.707749778645
CO,2027-05-01,48301.132111588086
CO,2027-06-01,46469.43383376254
CO,2027-07-01,49142.42691782413
CO,2027-08-01,49252.72308095907
CO,2027-09-01,47876.83368104808
CO,2027-10-01,51161.65397811185
CO,2027-11-01,48829.1773343869
CO,2027-12-01,51197.44828335971
CO,2028-01-01,52424.686853529805
CO,2028-02-01,48836.14569912606
CO,2028-03-01,52647.491906828734
CO,2028-04-01,52402.33509357977
CO,2028-05-01,53217.04317622616
CO,2028-06-01,52515.987975351505
CO,2028-07-01,55310.45153934268
CO,2028-08-01,54639.40950729153
CO,2028-09-01,54371.684628864146
CO,2028-10-01,56067.76869605742
CO,2028-11-01,54414.003050808344
CO,2028-12-01,57955.14235708488
CO,2029-01-01,56719.45099948783
CO,2029-02-01,52215.07224627991
CO,2029-03-01,58505.17771819902
CO,2029-04-01,56859.963356510445
CO,2029-05-01,58309.58100706205
CO,2029-06-01,57938.57753835613
CO,2029-07-01,59642.17164600529
CO,2029-08-01,59790.182164969134
CO,2029-09-01,59228.93719996366
CO,2029-10-01,59980.404754118106
CO,2029-11-01,58968.43045787701
CO,2029-12-01,61870.1136811097
CO,2030-01-01,60835.25695046389
CO,2030-02-01,55779.210994189816
CO,2030-03-01,62723.879540483766
CO,2030-04-01,59424.20507498722
CO,2030-05-01,61850.41035598125
CO,2030-06-01,61089.65848251873
CO,2030-07-01,61667.571928272526
CO,2030-08-01,63218.90038009508
CO,2030-09-01,61415.77065751292
CO,2030-10-01,62989.77787279364
CO,2030-11-01,62605.496890076975
CO,2030-12-01,64523.21898736466
CR,2019-07-01,194403.0
CR,2019-08-01,97201.0
CR,2019-09-01,3292703.0
CR,2019-10-01,43157510.0
CR,2019-11-01,42841605.0
CR,2019-12-01,69924400.0
CR,2020-01-01,65963436.0
CR,2020-02-01,76922915.0
CR,2020-03-01,110700472.0
CR,2020-04-01,166810096.0
CR,2020-05-01,160479841.0
CR,2020-06-01,191049744.0
CR,2020-07-01,339768191.0
CR,2020-08-01,371018507.0
CR,2020-09-01,388283941.0
CR,2020-10-01,376401046.0
CR,2020-11-01,335710026.0
CR,2020-12-01,290389781.0
CR,2021-01-01,257657139.0
CR,2021-02-01,226346077.0
CR,2021-03-01,252663412.0
CR,2021-04-01,311531131.0
CR,2021-05-01,322417707.0
CR,2021-06-01,311895637.0
CR,2021-07-01,223490775.0
CR,2021-08-01,181912790.0
CR,2021-09-01,171937477.0
CR,2021-10-01,138366478.0
CR,2021-11-01,112462248.0
CR,2021-12-01,103872059.0
CR,2022-01-01,82451255.0
CR,2022-02-01,69985151.0
CR,2022-03-01,85124300.0
CR,2022-04-01,112231399.0
CR,2022-05-01,136167295.0
CR,2022-06-01,109570501.0
CR,2022-07-01,108124634.0
CR,2022-08-01,115779256.0
CR,2022-09-01,116872776.0
CR,2022-10-01,117541030.0
CR,2022-11-01,128731369.0
CR,2022-12-01,129934237.0
CR,2023-01-01,125353619.0
CR,2023-02-01,124159686.13175495
CR,2023-03-01,133868769.63538031
CR,2023-04-01,123103012.22909853
CR,2023-05-01,139079292.77907592
CR,2023-06-01,128859587.8410829
CR,2023-07-01,139613581.04972395
CR,2023-08-01,125510127.22687584
CR,2023-09-01,114513153.79083511
CR,2023-10-01,89177827.46502095
CR,2023-11-01,66395229.01583256
CR,2023-12-01,51587659.02293274
CR,2024-01-01,45525109.310304075
CR,2024-02-01,45063341.29640996
CR,2024-03-01,47407838.13478508
CR,2024-04-01,41332433.04278663
CR,2024-05-01,38814396.642892525
CR,2024-06-01,37636776.95737159
CR,2024-07-01,35073074.03769801
CR,2024-08-01,37417385.233410425
CR,2024-09-01,39785403.56691519
CR,2024-10-01,37209655.52500844
CR,2024-11-01,31911148.54980387
CR,2024-12-01,28837148.173256766
CR,2025-01-01,25010112.94088877
CR,2025-02-01,26418410.898235917
CR,2025-03-01,27634360.082703866
CR,2025-04-01,30014677.2276578
CR,2025-05-01,28313186.175378766
CR,2025-06-01,27705524.95583284
CR,2025-07-01,21776822.395000786
CR,2025-08-01,21302385.727181878
CR,2025-09-01,20268978.302287765
CR,2025-10-01,20232047.80361567
CR,2025-11-01,19940092.120143063
CR,2025-12-01,18434432.3461418
CR,2026-01-01,16526126.081716368
CR,2026-02-01,14885998.009563046
CR,2026-03-01,13791646.415957106
CR,2026-04-01,10446002.176237859
CR,2026-05-01,9263169.526248151
CR,2026-06-01,8554325.80122286
CR,2026-07-01,8649815.324344981
CR,2026-08-01,8509360.899110207
CR,2026-09-01,7913252.5832350915
CR,2026-10-01,8119704.595311323
CR,2026-11-01,7699996.436005088
CR,2026-12-01,7719324.197343109
CR,2027-01-01,7797463.342597043
CR,2027-02-01,6779869.349200629
CR,2027-03-01,7252030.267481107
CR,2027-04-01,6980900.739588845
CR,2027-05-01,7147528.191190643
CR,2027-06-01,6651349.503716949
CR,2027-07-01,6877059.196675889
CR,2027-08-01,6733426.051560827
CR,2027-09-01,6434213.229602948
CR,2027-10-01,6689996.546754038
CR,2027-11-01,6247060.916937834
CR,2027-12-01,6401579.897638898
CR,2028-01-01,6389575.958669396
CR,2028-02-01,5828103.182680648
CR,2028-03-01,6188307.0366924945
CR,2028-04-01,6026249.385789214
CR,2028-05-01,5999932.586403061
CR,2028-06-01,5852575.7766576465
CR,2028-07-01,6039950.78881426
CR,2028-08-01,5886580.211472535
CR,2028-09-01,5761424.727437436
CR,2028-10-01,5845645.228644704
CR,2028-11-01,5610128.084170156
CR,2028-12-01,5868441.575889304
CR,2029-01-01,5641965.939783664
CR,2029-02-01,5136043.011275522
CR,2029-03-01,5682124.230213372
CR,2029-04-01,5444370.255018003
CR,2029-05-01,5523765.403396122
CR,2029-06-01,5410625.518499804
CR,2029-07-01,5509505.16870811
CR,2029-08-01,5477733.235590087
CR,2029-09-01,5376529.865412275
CR,2029-10-01,5384286.606244221
CR,2029-11-01,5277696.8023229
CR,2029-12-01,5473463.049360918
CR,2030-01-01,5355979.507072752
CR,2030-02-01,4879082.189497069
CR,2030-03-01,5475793.298963312
CR,2030-04-01,5155356.63393195
CR,2030-05-01,5358251.437917848
CR,2030-06-01,5270666.731243754
CR,2030-07-01,5282530.421047768
CR,2030-08-01,5397210.609893285
CR,2030-09-01,5190413.056460877
CR,2030-10-01,5292036.431735684
CR,2030-11-01,5214126.274956401
CR,2030-12-01,5325078.779509973
EC,2019-07-01,3541.0
EC,2019-08-01,187662.0
EC,2019-09-01,11535927.0
EC,2019-10-01,44978781.0
EC,2019-11-01,34193506.0
EC,2019-12-01,39235604.0
EC,2020-01-01,45028353.0
EC,2020-02-01,51720467.0
EC,2020-03-01,67073375.0
EC,2020-04-01,101982122.0
EC,2020-05-01,124211265.0
EC,2020-06-01,112462890.0
EC,2020-07-01,136427022.0
EC,2020-08-01,162335056.0
EC,2020-09-01,152257943.0
EC,2020-10-01,164519732.0
EC,2020-11-01,162852015.0
EC,2020-12-01,173708107.0
EC,2021-01-01,167809135.0
EC,2021-02-01,153522006.0
EC,2021-03-01,196178025.0
EC,2021-04-01,257763157.0
EC,2021-05-01,347936712.0
EC,2021-06-01,315510066.0
EC,2021-07-01,309742105.0
EC,2021-08-01,302079813.0
EC,2021-09-01,310765395.0
EC,2021-10-01,286440099.0
EC,2021-11-01,244623251.0
EC,2021-12-01,259625620.0
EC,2022-01-01,255482884.0
EC,2022-02-01,233908787.0
EC,2022-03-01,248050743.0
EC,2022-04-01,253284040.0
EC,2022-05-01,249527258.0
EC,2022-06-01,247239904.0
EC,2022-07-01,255535998.0
EC,2022-08-01,265280283.0
EC,2022-09-01,286528615.0
